author,comments,name,press,price,rank
山下英子,183973条评论,断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰,湖南文艺出版社,¥20.20,77.
吴敬梓,252737条评论,儒林外史(56回全本，内容考证、文字句读全新修订版。),花山文艺出版社,¥10.10,78.
任溶溶,498853条评论,任溶溶系列：没头脑和不高兴(注音版）,浙江少年儿童出版社,¥8.90,79.
伊丽莎白·弗迪克,320510条评论,手不是用来打人的（儿童好品德系列，全5册）,贵州教育出版社,¥33.70,80.
吉野源三郎,157686条评论,你想活出怎样的人生（宫崎骏从10岁读到70岁的小说，同名电影制作,南海出版公司,¥24.70,122.
麦克,138976条评论,彩虹色的花,二十一世纪出版社,¥23.00,123.
杨绛,1423632条评论,我们仨（新版）,生活.读书.新知三联书店,¥14.00,124.
珍妮特·温特森,119842条评论,橘子不是唯一的水果,北京联合出版有限公司,¥24.50,125.
加缪,164743条评论,局外人（如果你在人群中感到格格不入，一定要读《局外人》 ！全新,江苏凤凰文艺出版社,¥22.30,126.
三毛,352742条评论,三毛全集02：撒哈拉的故事,北京十月文艺出版社,¥17.50,127.
乔安娜柯尔,2531505条评论,神奇校车大家族（全73册）,贵州人民出版社,¥322.90,128.
芭芭拉库尼,366557条评论,花婆婆——清华附小推荐的经典绘本！美国国家图书奖作品！,河北教育出版社,¥19.90,129.
天才教育,38269条评论,神奇的数学（礼品装，包含11本纸板书和11本练习册）,江苏教育出版社,¥279.30,130.
克利斯提昂,783980条评论,不一样的卡梅拉手绘本（1-12册）,２１世纪出版社,¥60.00,131.
沈复,98299条评论,浮生六记（详细注解+准确优美直译，你一定能读懂原文。获得台湾认,时代文艺出版社,¥16.80,132.
尼古拉斯·艾伦,316485条评论,小威向前冲,贵州人民出版社,¥18.00,133.
陈海贤,117950条评论,了不起的我：自我发展的心理学（陈海贤重磅新作，得到App10万+付,台海出版社,¥34.50,134.
梁实秋,21875条评论,梁实秋：可能这就是人生吧（人民日报、十点读书推荐，文学泰斗梁,中国友谊出版公司,¥15.50,135.
乔安娜柯尔,189594条评论,神奇校车·人文版（全3册）,贵州人民出版社,¥21.00,136.
贾平凹,817334条评论,自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作,长江文艺出版社,¥14.50,137.
阎崇年,23968条评论,故宫六百年（上下册）（去过故宫1000多次的史学大家阎崇年完整讲,华文出版社,¥68.70,138.
张圣洁,57986条评论,论语（国学启蒙经典系列。全文注音+详尽注释+精准翻译，无需古文,浙江教育出版社,¥18.60,139.
北猫,385109条评论,米小圈漫画成语（套装共5册）,四川少儿出版社,¥49.00,140.
陈磊,1221469条评论,半小时漫画历史系列（中国史1-5完结+世界史，共6册）（独家签章版,文汇出版社,¥128.40,21.
圣埃克苏佩里,88063条评论,小王子（名家全译本，原版插图精美再现，版语文教材阅读，傅雷翻,浙江工商大学出版社,¥13.00,22.
中村恒子,355298条评论,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、,北京日报出版社（原同心出版社）,¥20.00,23.
马歇尔,698729条评论,非暴力沟通,华夏出版社,¥24.50,24.
盖温·肯尼迪,193492条评论,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,民主与建设出版社,¥22.10,25.
钱穆,52772条评论,钱穆谈中国历史文化：中国历史精神,贵州人民出版社,¥12.70,26.
